"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,53808000,52920000,55200000,52920000,55080000,53040000,54240000,53400000,53280000,54720000,53280000,53608623.6881559
9500,54348000,53460000,56220000,53340000,55980000,53700000,55260000,53700000,53580000,54900000,53340000,54371868.065967
10000,55068000,54120000,57240000,54600000,55800000,54720000,55080000,54960000,54360000,55800000,5.4e+07,55031694.1529235
10500,55692000,54540000,57060000,55260000,56220000,55140000,56220000,55260000,55260000,56460000,55500000,55612023.988006
11000,56160000,55560000,57960000,55800000,56400000,55080000,56520000,56040000,55920000,56760000,55560000,56162638.6806597
11500,56616000,55740000,58020000,55980000,56820000,55140000,57300000,56460000,56460000,58260000,55980000,56610434.7826087
12000,57132000,57120000,58920000,56160000,56880000,55920000,57840000,56880000,56880000,58440000,56280000,56978308.8455772
12500,57456000,57300000,59340000,57180000,57180000,56460000,57780000,56940000,57900000,57780000,56700000,57311874.0629685
13000,57576000,57120000,59400000,57960000,56400000,56520000,58200000,57240000,58320000,57240000,57360000,57533415.2923538
