"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,55680000,5.4e+07,55080000,57240000,54600000,55680000,54360000,56760000,57120000,57600000,54360000,55697961.0194903
9500,56460000,55740000,56220000,57300000,55740000,56580000,55500000,56580000,57180000,58740000,55020000,56308467.7661169
10000,56868000,56640000,56280000,57240000,55560000,57120000,57240000,57240000,57720000,58200000,55440000,56814398.8005997
10500,57252000,56700000,55980000,57780000,56340000,57420000,57420000,57900000,58020000,58860000,56100000,57247814.0929535
11000,57684000,56160000,57360000,57720000,56160000,57360000,58200000,59400000,58320000,59760000,56400000,57547412.2938531
11500,57888000,56220000,58020000,58140000,55980000,57300000,58020000,59940000,58380000,60300000,56580000,57736401.7991005
12000,57816000,56400000,57840000,58200000,56520000,57480000,58200000,59280000,58680000,59760000,55800000,57822842.5787107
12500,57840000,57060000,58020000,57660000,56100000,57420000,58740000,59700000,58620000,58860000,56220000,57812773.6131934
13000,57720000,57480000,58800000,58080000,55560000,57120000,58320000,58800000,57960000,58800000,56280000,57806758.6206897
