"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,55200000,53640000,56520000,56040000,54600000,54360000,55080000,56400000,54720000,55680000,54960000,55182722.6386807
9500,56112000,54540000,57660000,56940000,55140000,55620000,56100000,57540000,55140000,56580000,55860000,55991508.2458771
10000,56916000,55080000,58200000,57240000,56640000,55440000,56520000,57960000,57240000,57720000,57120000,56629823.0884558
10500,57264000,56460000,58020000,56820000,57900000,56220000,56940000,58260000,57180000,57660000,57180000,57081091.4542729
11000,57240000,56400000,57960000,56400000,57480000,56520000,56760000,58080000,58080000,57480000,57240000,57356581.7091454
11500,57624000,56820000,58740000,57180000,58980000,56700000,56700000,58620000,58140000,57300000,57060000,57470206.8965517
12000,57684000,5.7e+07,57960000,56880000,59280000,57480000,56520000,58440000,58920000,57480000,56880000,57571334.3328336
12500,57492000,57180000,57780000,56700000,58620000,57060000,56820000,57780000,58260000,57660000,57060000,57628521.7391304
13000,57696000,57480000,58800000,56760000,58920000,56880000,57480000,5.7e+07,58080000,57840000,57720000,57598980.5097451
