"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,53.211,50.757,53.727,53.707,54.057,53.417,52.817,53.477,54.827,53.677,51.647
9500,1,53.446,50.897,55.027,55.057,53.397,52.357,52.127,53.897,54.387,53.087,54.227
10000,1,53.996,52.697,54.807,56.027,53.717,52.927,51.917,53.987,56.067,53.147,54.667
10500,1,53.453,52.067,54.167,55.267,53.427,52.117,52.827,53.627,55.247,51.997,53.787
11000,1,53.36,51.027,54.907,55.737,52.857,52.487,52.477,54.417,54.637,51.677,53.377
11500,1,53.773,51.327,55.617,56.567,51.817,51.777,54.207,55.307,54.327,53.337,53.447
12000,1,53.767,52.317,56.447,56.907,51.037,51.757,54.087,53.937,54.427,53.507,53.247
12500,1,53.712,51.927,56.867,56.207,51.177,52.347,54.417,54.047,53.347,52.617,54.167
13000,1,53.676,52.837,57.007,54.807,50.877,52.627,53.967,53.807,54.277,51.967,54.587
