"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,54.468,54.717,53.457,54.147,53.457,52.857,54.957,57.157,56.537,53.987,53.407
9500,1,54.454,54.707,55.497,54.627,53.337,54.337,53.437,56.517,56.587,52.827,52.667
10000,1,54.95,56.377,55.537,55.227,55.027,54.307,52.887,56.337,56.717,52.847,54.237
10500,1,55.031,57.177,54.917,53.607,55.587,54.757,52.847,56.407,57.397,54.477,53.137
11000,1,55.043,57.007,55.847,54.877,56.417,55.027,52.277,54.917,56.687,54.877,52.497
11500,1,55.091,56.947,56.597,54.207,55.547,56.267,53.317,54.647,55.837,55.377,52.167
12000,1,54.907,55.917,57.517,54.777,54.197,55.037,53.417,55.827,55.627,54.377,52.377
12500,1,55.21,55.887,57.687,55.417,55.507,54.377,53.977,55.787,55.097,55.177,53.187
13000,1,54.649,55.527,57.347,54.437,54.377,53.707,53.017,55.957,54.587,55.357,52.177
