"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,57.94,58.647,59.077,53.817,59.287,56.197,58.557,58.677,58.887,58.307,57.947
9500,1,58.635,58.517,59.117,55.567,59.307,57.507,58.577,58.577,60.157,59.497,59.527
10000,1,58.524,58.377,59.697,56.467,58.937,59.207,57.937,58.177,59.447,58.677,58.317
10500,1,58.547,57.637,59.537,55.437,59.267,59.717,58.157,58.307,59.817,59.127,58.467
11000,1,58.784,58.487,58.367,57.547,58.397,61.117,59.127,57.597,60.227,58.297,58.677
11500,1,58.244,56.987,58.147,57.167,58.417,60.127,59.177,56.957,59.587,58.337,57.537
12000,1,58.002,56.407,57.397,57.737,57.687,60.197,58.497,57.127,60.327,57.367,57.277
12500,1,57.816,56.897,58.707,57.027,58.207,59.587,57.727,56.237,59.997,57.527,56.247
13000,1,57.57,56.437,58.297,56.877,57.847,59.227,58.147,56.307,58.917,56.967,56.677
