"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,51.87,50.667,53.737,49.347,54.697,49.677,51.867,51.727,52.017,50.877,54.087
9500,1,52.382,52.127,53.447,49.407,53.847,49.797,53.547,52.757,53.737,50.937,54.217
10000,1,52.872,52.287,53.467,50.537,56.027,49.967,53.167,52.937,54.257,51.837,54.237
10500,1,53.144,51.907,54.467,50.517,55.807,51.317,53.017,53.027,55.097,51.947,54.337
11000,1,53.433,52.147,54.137,50.917,55.077,51.117,54.687,52.707,55.277,51.537,56.727
11500,1,53.672,52.197,54.247,50.937,56.507,50.627,54.677,53.227,55.017,52.027,57.257
12000,1,53.692,51.927,55.237,51.527,55.787,51.467,53.657,52.957,54.747,52.647,56.967
12500,1,53.55,51.337,55.057,51.897,56.717,50.527,52.137,52.587,55.197,52.417,57.627
13000,1,53.173,50.347,53.687,52.657,56.487,50.157,51.777,53.197,53.907,51.997,57.517
