"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,57.167,56.957,57.007,58.387,58.227,57.307,56.647,57.087,59.587,55.637,54.827
9500,1,57.386,56.637,58.157,58.847,58.287,57.357,56.347,57.907,59.267,56.087,54.967
10000,1,57.78,57.367,58.307,58.857,57.637,57.477,56.137,58.167,58.897,58.177,56.777
10500,1,57.963,57.797,58.397,58.037,57.847,58.097,55.577,59.137,59.687,57.577,57.477
11000,1,58.371,58.787,60.587,57.307,58.327,58.987,56.237,59.047,59.317,57.207,57.907
11500,1,58.474,59.757,59.447,56.637,57.857,59.517,57.477,58.457,60.267,58.077,57.247
12000,1,58.702,59.557,57.737,58.787,58.057,59.487,57.997,58.537,60.477,58.067,58.317
12500,1,58.426,58.817,57.007,58.457,58.917,59.247,56.917,57.947,60.877,57.767,58.307
13000,1,57.932,58.467,57.277,57.957,57.827,58.787,55.827,57.967,60.177,57.037,57.997
