"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,57420000,58080000,58080000,56640000,56400000,56400000,57480000,58080000,57960000,5.7e+07,58080000,57246026.9865067
9500,57996000,58500000,58260000,57420000,57180000,57180000,58860000,58260000,58140000,57900000,58260000,57968125.9370315
10000,58692000,58800000,58680000,58800000,57720000,57960000,60240000,59280000,58200000,58560000,58680000,58464401.7991004
10500,59040000,58620000,58860000,60060000,58380000,58620000,60300000,58980000,58260000,59460000,58860000,58773097.4512744
11000,58932000,58680000,59400000,60240000,58200000,58080000,60240000,59160000,58320000,58800000,58200000,58948377.8110945
11500,58980000,58740000,59580000,59460000,58740000,58380000,60420000,59580000,58500000,59100000,57300000,58989913.0434783
12000,59004000,58920000,59160000,58800000,58920000,58560000,6e+07,59760000,58680000,59520000,57720000,58950806.5967017
12500,58884000,59100000,58260000,59100000,59460000,58140000,59220000,59340000,58860000,58980000,58380000,58862458.7706147
13000,58692000,59160000,57840000,58560000,59160000,57840000,58800000,59400000,58920000,58920000,58320000,58688413.7931035
