"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,56112000,55680000,56160000,55560000,56520000,56640000,56040000,55920000,55320000,56520000,56760000,56040785.6071964
9500,56652000,56340000,56940000,56460000,56580000,57300000,56220000,56340000,57060000,56700000,56580000,56519310.3448276
10000,56976000,56280000,57360000,57240000,57120000,57720000,56400000,56880000,5.7e+07,56640000,57120000,56877013.4932534
10500,56988000,56460000,57780000,56820000,56940000,57540000,56820000,57060000,57060000,56460000,56940000,57120551.7241379
11000,57444000,56520000,58440000,57240000,57480000,57480000,57720000,57240000,57240000,57720000,57360000,57282410.7946027
11500,57396000,57180000,57780000,56940000,57180000,57300000,58140000,57180000,56940000,57780000,57540000,57476689.6551724
12000,57660000,58080000,58440000,56520000,57600000,57360000,58320000,57480000,57360000,57840000,57600000,57684893.5532234
12500,57900000,58260000,57900000,57060000,58260000,58020000,58740000,57780000,57420000,57900000,57660000,57864893.5532234
13000,58152000,58800000,57720000,57960000,58320000,58200000,58680000,58320000,57480000,59160000,56880000,58024635.6821589
