"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,55.866,55.457,54.427,56.657,55.477,54.337,54.277,55.477,57.257,55.167,60.127
9500,1,56.023,55.437,55.017,56.547,55.697,55.307,53.167,56.427,57.417,55.477,59.737
10000,1,55.805,55.997,54.727,56.827,55.757,55.857,52.547,55.827,56.737,55.097,58.677
10500,1,56.269,56.487,54.737,56.957,56.637,56.087,53.457,56.257,57.987,56.327,57.757
11000,1,56.342,58.127,55.247,57.837,55.557,55.397,54.037,56.387,57.437,56.047,57.347
11500,1,56.69,58.197,55.317,57.977,56.097,55.877,53.997,57.697,58.227,55.927,57.587
12000,1,56.651,57.747,55.047,58.167,57.157,54.767,54.377,57.997,57.867,55.437,57.947
12500,1,56.495,57.107,55.657,57.947,57.697,54.917,55.397,57.097,57.487,54.637,57.007
13000,1,56.072,57.807,54.057,57.427,57.007,54.847,54.727,56.297,56.777,54.397,57.377
