"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,52344000,5.1e+07,52920000,52560000,53520000,52680000,52800000,51960000,52680000,51720000,51600000,52140725.6371814
9500,52884000,51540000,53340000,52740000,54900000,52740000,52860000,52140000,53100000,52620000,52860000,52729013.4932534
10000,53208000,52440000,53760000,53880000,54360000,52680000,53040000,52200000,53280000,53760000,52680000,53201919.0404798
10500,53520000,52620000,54540000,54180000,54180000,52620000,53460000,53100000,53580000,53700000,53220000,53531058.4707646
11000,53784000,52560000,54720000,54120000,54240000,53280000,53160000,53760000,53760000,53400000,54840000,53813607.1964018
11500,53964000,52860000,55020000,54300000,54300000,53940000,53220000,54060000,54180000,53460000,54300000,54142476.7616192
12000,54528000,53400000,55920000,55320000,54360000,54720000,5.4e+07,55200000,54720000,53760000,53880000,54442410.7946027
12500,54828000,53820000,55740000,55140000,54540000,55260000,53820000,55860000,54420000,54540000,55140000,54663874.0629685
13000,54912000,5.4e+07,55320000,55680000,54600000,55200000,54120000,54840000,54960000,54960000,55440000,54789397.3013493
