"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,55.069,54.477,56.967,55.567,55.817,55.877,53.447,54.777,55.327,53.437,54.997
9500,1,56.006,54.597,57.437,55.507,56.747,56.307,55.537,56.367,55.497,55.197,56.867
10000,1,56.108,55.207,57.077,55.277,56.477,56.377,56.517,56.437,55.977,55.207,56.527
10500,1,56.473,55.427,56.767,56.887,56.857,57.287,56.157,56.937,56.917,54.997,56.497
11000,1,57.104,55.847,56.107,57.407,57.247,57.857,57.727,56.687,56.977,57.637,57.547
11500,1,57.582,55.477,57.947,58.977,58.847,58.627,56.907,57.557,56.607,57.237,57.637
12000,1,57.336,56.197,57.777,58.067,58.877,58.057,56.277,57.667,56.487,57.417,56.537
12500,1,57.406,56.687,57.177,57.847,58.197,57.887,56.827,57.767,56.627,58.267,56.777
13000,1,56.992,56.837,56.327,57.627,57.667,56.767,55.597,57.187,57.947,57.777,56.187
