"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,44.6598,45.428,47.747,43.088,47.787,44.948,42.798,45.128,43.038,41.498,45.138
9500,1,45.3918,46.688,47.407,44.898,47.427,45.048,43.818,45.288,43.658,44.118,45.568
10000,1,46.1217,47.317,48.327,46.058,47.947,46.418,44.098,45.468,44.428,44.158,46.998
10500,1,46.5595,47.857,48.347,47.687,48.137,46.528,44.348,47.467,45.378,43.968,45.878
11000,1,46.4877,48.837,48.057,47.807,47.058,46.708,44.568,46.828,45.148,44.828,45.038
11500,1,46.8267,49.747,49.427,48.987,45.978,46.068,44.738,46.798,46.408,44.068,46.048
12000,1,46.7217,49.197,50.247,48.497,46.158,46.228,44.938,45.758,46.438,43.888,45.868
12500,1,46.7037,48.997,50.407,47.757,46.028,46.068,44.948,45.038,46.288,44.358,47.148
13000,1,46.8396,49.077,49.787,48.017,45.358,45.058,46.688,45.258,46.498,43.898,48.757
