"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,57204000,57600000,56880000,56880000,57480000,58080000,57120000,56520000,56400000,57960000,57120000,56983088.4557721
9500,57588000,57660000,57540000,57060000,57060000,57900000,57780000,57540000,57900000,58140000,57300000,57395496.2518741
10000,57756000,58080000,58200000,57360000,57240000,57840000,58080000,57600000,57960000,58080000,57120000,57742848.5757121
10500,57852000,58260000,58020000,57540000,57900000,58500000,58140000,57660000,57420000,57780000,57300000,58048005.9970015
11000,58464000,59520000,58800000,58200000,57960000,59400000,58800000,58320000,56880000,58680000,58080000,58305733.1334333
11500,58596000,59940000,58980000,58140000,58740000,59100000,58500000,58260000,57180000,58620000,58500000,58557979.0104948
12000,58800000,59760000,59640000,58920000,58320000,59040000,58200000,59040000,57600000,59400000,58080000,58707982.0089955
12500,58692000,59100000,59460000,59220000,58020000,58740000,58860000,58620000,57300000,59580000,58020000,58798650.6746627
13000,58848000,59760000,59160000,59640000,58680000,58440000,58320000,59280000,57240000,59640000,58320000,58856665.6671664
