"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,57252000,57600000,57360000,57240000,59040000,56640000,5.7e+07,56520000,57120000,56760000,57240000,57119916.041979
9500,57804000,57540000,57540000,58260000,59820000,57420000,57660000,56940000,58380000,56940000,57540000,57742152.9235382
10000,58260000,59040000,57960000,58320000,59880000,57600000,58320000,57120000,58680000,57360000,58320000,58353013.4932534
10500,59028000,59220000,58860000,58860000,60540000,58860000,60060000,58020000,59460000,57540000,58860000,58897217.3913044
11000,59544000,60120000,6e+07,58680000,60360000,59640000,59880000,58320000,60600000,58560000,59280000,59412125.9370315
11500,59964000,60660000,60420000,58860000,60300000,59820000,60060000,59700000,60900000,59340000,59580000,59833301.3493253
12000,60180000,60840000,60720000,59280000,60360000,59880000,59520000,60720000,60840000,60240000,59400000,60112353.8230885
12500,60468000,60900000,61020000,59940000,60420000,59700000,60540000,60900000,61380000,60540000,59340000,60286380.8095952
13000,60348000,60480000,60960000,60120000,60480000,59400000,60240000,60840000,60960000,60600000,59400000,60335088.4557721
