"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,53.073,50.827,54.287,49.717,56.527,56.467,55.197,51.657,50.737,49.307,56.007
9500,1,53.699,51.347,55.587,50.277,57.147,56.737,55.387,54.437,51.287,49.727,55.057
10000,1,53.734,51.117,55.807,50.757,58.527,56.027,55.047,54.627,50.997,50.337,54.097
10500,1,54.035,52.347,54.867,50.727,57.827,56.097,55.407,56.917,50.057,51.107,54.997
11000,1,54.254,52.027,55.607,51.567,57.917,55.247,56.187,56.907,50.907,51.837,54.337
11500,1,54.518,52.847,55.987,51.377,57.297,54.587,55.867,56.917,52.727,52.707,54.867
12000,1,54.511,52.237,56.947,53.447,56.577,53.237,55.067,57.077,52.407,53.557,54.557
12500,1,54.155,52.587,55.997,53.297,56.007,53.757,54.177,56.397,51.297,54.047,53.987
13000,1,54.249,52.347,56.097,54.717,56.437,53.807,53.717,56.897,51.007,53.307,54.157
