"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,55584000,55920000,56280000,55440000,56640000,56040000,55320000,55320000,55080000,54600000,55200000,55566566.7166417
9500,56532000,57300000,57300000,56820000,57420000,57180000,56100000,56100000,55500000,55140000,56460000,56322830.5847076
10000,57084000,58200000,57960000,57600000,57720000,57360000,56040000,57120000,55080000,56040000,57720000,56916365.8170915
10500,57432000,58860000,57900000,57540000,57540000,57420000,57180000,57420000,55620000,56460000,58380000,57400389.8050975
11000,57732000,58920000,58200000,57840000,57960000,57840000,58080000,56880000,55800000,57360000,58440000,57739088.4557721
11500,58092000,59220000,58380000,57780000,58140000,57540000,59340000,56940000,56460000,58140000,58980000,58020353.8230885
12000,58272000,58680000,58440000,58200000,57720000,57960000,60360000,56640000,57720000,57960000,59040000,58202800.5997002
12500,58248000,58500000,58020000,58980000,57900000,57780000,60180000,57060000,57180000,57780000,59100000,58325469.2653673
13000,58512000,58080000,58080000,58920000,58200000,58560000,60480000,58320000,57480000,57840000,59160000,58384839.5802099
