"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,55.464,54.307,56.087,55.597,54.467,54.877,54.877,54.677,55.347,56.297,58.107
9500,1,55.971,54.887,56.217,55.637,54.217,55.737,55.467,56.017,56.927,56.437,58.167
10000,1,56,55.747,55.787,55.757,55.207,56.787,55.587,55.987,56.367,54.847,57.927
10500,1,56.12,57.037,55.427,56.647,55.237,57.597,55.997,55.937,56.317,54.277,56.727
11000,1,56.16,57.047,55.907,57.057,55.277,57.197,56.867,54.327,56.307,54.827,56.787
11500,1,56.511,56.817,55.797,56.587,56.457,57.367,58.567,54.407,58.087,54.587,56.437
12000,1,56.15,56.557,56.807,55.677,55.727,56.497,57.807,55.197,58.087,53.337,55.807
12500,1,56.038,57.427,55.467,56.567,55.037,55.407,56.337,56.487,57.597,54.227,55.827
13000,1,56.38,57.487,57.697,56.247,54.407,56.207,56.867,57.217,57.537,55.017,55.117
