"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,42876000,41280000,44400000,41160000,42360000,4.5e+07,40800000,44040000,42360000,43920000,43440000,42845277.3613193
9500,43392000,41820000,45060000,41580000,42780000,46140000,40980000,43500000,42780000,45060000,44220000,43453583.2083958
10000,44016000,42480000,45480000,4.2e+07,43200000,47160000,41880000,44160000,44280000,45720000,43800000,43966044.9775112
10500,44460000,42300000,45300000,42420000,43620000,48660000,42660000,43740000,44940000,45900000,45060000,44475856.071964
11000,44952000,43440000,45240000,42600000,44880000,49560000,42720000,44760000,45360000,45600000,45360000,44867034.4827586
11500,45384000,43380000,46380000,43260000,46140000,49380000,42900000,45780000,45540000,45780000,45300000,45203112.4437781
12000,45384000,43440000,46200000,43680000,45960000,48720000,42960000,46200000,45840000,45600000,45240000,45467514.2428786
12500,45744000,43260000,46740000,44220000,46260000,48780000,44220000,46620000,46140000,45540000,45660000,45609511.2443778
13000,45792000,42720000,47520000,4.5e+07,45840000,48840000,44400000,46680000,46200000,45120000,45600000,45692083.958021
