"envios","gan_sum_1","m_1_1","m_1_2","m_1_3","m_1_4","m_1_5","m_1_6","m_1_7","m_1_8","m_1_9","m_1_10","gan_suavizada"
9000,58284000,58680000,58920000,57720000,58800000,58200000,57600000,59040000,57960000,58200000,57720000,58159262.3688156
9500,58668000,59100000,58620000,58740000,58980000,58380000,58740000,58980000,58620000,58980000,57540000,58611532.2338831
10000,58980000,58800000,58920000,59760000,58320000,58800000,59040000,59760000,59400000,59640000,57360000,58877799.1004498
10500,59088000,58860000,58620000,59700000,58740000,58380000,59100000,60780000,59100000,60060000,57540000,59012329.8350825
11000,59052000,59160000,58440000,59280000,59040000,58200000,59040000,60360000,58920000,60240000,57840000,59072071.964018
11500,59112000,58620000,58620000,58860000,58740000,58860000,59460000,60300000,59700000,60180000,57780000,59094788.6056972
12000,59172000,58440000,58920000,59160000,58560000,58680000,6e+07,60240000,6e+07,6e+07,57720000,59098068.9655172
12500,59208000,58980000,59460000,58980000,59100000,58620000,59940000,60540000,59340000,59580000,57540000,59070386.8065967
13000,58908000,58800000,59040000,58800000,59040000,58200000,59520000,59760000,59280000,59400000,57240000,58973901.0494753
